aX,aY,aZ,gX,gY,gZ
-0.073,-1.051,-0.449,-133.301,-42.603,-47.485
0.003,-1.355,-0.544,-131.226,-39.856,-51.758
0.070,-1.694,-0.661,-129.761,-35.461,-59.998
0.096,-2.065,-0.810,-124.146,-39.063,-75.439

0.189,0.040,-1.009,3.662,1.953,1.465
0.194,0.026,-1.013,3.601,2.380,1.709
0.203,0.016,-1.018,3.418,2.930,2.014
0.213,0.004,-1.026,3.113,3.174,2.075
0.226,-0.006,-1.032,2.930,3.052,2.075
0.241,-0.026,-1.037,3.174,2.747,1.648
0.256,-0.051,-1.039,3.662,3.113,1.343
0.277,-0.083,-1.037,3.906,3.662,1.099
0.298,-0.134,-1.044,5.005,4.272,-0.061
0.303,-0.198,-1.047,6.409,3.906,-2.319
0.294,-0.269,-1.040,8.484,2.563,-4.700
0.279,-0.341,-1.017,10.925,1.282,-6.714
0.271,-0.417,-0.996,14.709,1.465,-7.690
0.272,-0.488,-0.984,19.775,2.808,-6.958
0.293,-0.541,-0.986,26.672,5.432,-4.883
0.328,-0.580,-0.999,33.813,9.155,-1.526
0.365,-0.606,-1.021,40.039,14.404,3.113
0.392,-0.654,-1.041,45.105,19.958,5.981
0.408,-0.710,-1.048,49.011,23.621,5.798
0.398,-0.774,-1.026,53.406,24.780,2.380
0.370,-0.839,-0.999,61.890,23.499,-2.869
0.330,-0.898,-1.002,73.975,21.240,-5.859
0.295,-0.943,-1.035,86.487,20.935,-4.578
0.262,-0.972,-1.070,94.482,24.719,1.953
0.243,-0.995,-1.084,97.778,31.372,13.245
0.220,-1.010,-1.067,99.792,36.316,25.085
0.182,-1.020,-1.024,103.088,38.452,34.485
0.129,-1.026,-0.964,109.070,37.170,39.978
0.068,-1.019,-0.900,118.408,32.410,42.664
0.018,-0.974,-0.862,128.052,26.550,45.105
-0.035,-0.959,-0.835,134.155,23.926,49.438
-0.108,-0.823,-0.783,130.920,26.367,45.410
-0.163,-0.679,-0.702,124.146,31.128,41.504
-0.251,-0.546,-0.591,117.432,32.532,39.063
-0.408,-0.347,-0.412,112.183,29.541,35.095
-0.642,-0.101,-0.222,114.929,18.860,38.452
-0.828,0.164,0.054,122.803,0.061,56.396
-1.055,0.621,0.490,127.075,-14.465,80.017
-1.217,1.077,0.870,132.996,-15.015,100.342
-1.449,1.629,1.210,129.517,-5.493,117.004
-1.587,2.199,1.456,135.071,1.282,145.569
-1.681,2.697,1.498,162.231,2.625,184.326
-1.737,3.163,1.284,198.425,5.554,227.844
-1.730,3.578,0.823,231.201,16.724,276.917
-1.430,3.888,0.033,251.831,39.246,321.045
-0.547,3.814,-0.877,256.104,61.340,344.971
0.578,3.344,-1.405,243.225,42.725,328.430
1.573,2.940,-1.412,208.374,-8.667,276.184
2.099,2.827,-1.300,149.475,-19.714,217.590
2.168,2.882,-1.536,79.346,49.622,151.001
1.685,2.509,-1.991,16.479,128.540,65.613
0.911,1.949,-2.054,-20.264,106.140,-40.222
0.013,1.555,-1.579,-39.307,-2.747,-126.831
-0.750,1.024,-0.931,-39.551,-94.849,-180.542
-1.206,0.474,-0.347,-33.386,-126.282,-189.026
-1.343,0.127,0.043,-39.124,-91.797,-149.292
-1.256,0.068,0.164,-52.307,-16.113,-82.764
-1.079,0.237,0.020,-55.176,54.443,-17.578
-0.828,0.405,-0.261,-40.405,87.952,23.071
-0.624,0.589,-0.500,-22.888,78.369,37.109
-0.467,0.730,-0.620,-11.780,46.265,27.954
