aX,aY,aZ,gX,gY,gZ
-0.429,-0.288,-0.180,65.979,-14.221,18.250
-0.613,-0.145,0.009,76.782,-6.714,33.813
-0.712,-0.066,0.182,88.318,6.104,54.382
-0.848,0.165,0.351,96.558,22.034,74.524
-1.012,0.466,0.523,102.356,38.147,92.163
-1.196,0.786,0.682,115.295,46.631,109.985
-1.363,1.157,0.807,133.057,43.152,130.188
-1.555,1.530,0.899,148.560,36.926,147.888
-1.791,1.912,0.875,162.231,36.560,165.039
-2.011,2.254,0.692,178.406,38.391,194.641
-2.062,2.553,0.374,190.552,46.509,240.173
-1.798,2.761,-0.093,196.899,67.078,286.377
-1.198,2.823,-0.619,201.660,83.069,311.707
-0.427,2.674,-0.983,203.674,64.148,308.350
0.303,2.463,-1.067,197.632,13.794,275.696
0.936,2.406,-1.027,170.776,-16.907,239.075
1.533,2.586,-1.090,121.887,15.015,215.759
1.542,2.750,-1.492,52.307,103.638,179.260
1.268,2.406,-2.075,2.991,169.983,94.604
0.646,1.863,-2.213,-23.865,130.188,-6.104
-0.035,1.485,-1.786,-30.396,-0.427,-96.680
-0.636,1.053,-1.135,-23.071,-120.728,-150.391
-1.029,0.622,-0.542,-19.836,-161.926,-165.100
-1.177,0.313,-0.157,-30.823,-121.887,-135.498
-1.124,0.191,0.023,-50.476,-40.100,-76.416
-0.979,0.291,-0.006,-63.904,38.147,-14.038
-0.769,0.448,-0.178,-58.716,83.862,30.518
-0.562,0.577,-0.387,-39.612,88.623,47.913
-0.401,0.661,-0.535,-19.531,60.852,41.321
-0.322,0.678,-0.596,-2.380,19.409,17.761
-0.342,0.629,-0.585,10.193,-15.808,-10.620
-0.438,0.594,-0.536,15.442,-35.950,-31.555
-0.524,0.565,-0.516,18.066,-40.405,-36.743
-0.556,0.564,-0.547,19.348,-31.555,-27.344
-0.516,0.577,-0.622,17.517,-13.184,-10.193
-0.440,0.631,-0.687,11.780,4.944,8.423
-0.344,0.716,-0.719,5.432,17.822,22.339
-0.261,0.751,-0.738,2.869,21.301,27.649
-0.208,0.794,-0.728,2.075,15.381,25.330
-0.171,0.813,-0.706,2.258,6.653,17.700
-0.165,0.803,-0.682,1.526,-0.427,8.789
-0.195,0.772,-0.645,-0.366,-5.188,-1.404
-0.240,0.751,-0.605,-1.038,-10.193,-9.888
-0.293,0.720,-0.578,0.916,-16.785,-15.869
-0.330,0.701,-0.551,3.967,-20.691,-18.127
-0.356,0.681,-0.532,6.958,-19.348,-16.663
-0.374,0.665,-0.550,10.071,-14.465,-12.573
-0.391,0.670,-0.589,11.536,-8.545,-7.080
-0.385,0.686,-0.629,11.475,-2.930,-0.183
-0.343,0.722,-0.662,10.498,1.770,8.179
-0.276,0.760,-0.701,7.935,6.287,15.259
-0.208,0.803,-0.741,3.845,10.559,18.799
-0.155,0.832,-0.764,-0.854,12.573,18.005
-0.129,0.856,-0.763,-5.432,10.864,13.977
-0.126,0.870,-0.738,-8.118,6.226,7.935
-0.131,0.853,-0.708,-8.850,1.099,1.465
-0.154,0.812,-0.668,-9.216,-2.686,-3.967
-0.186,0.768,-0.619,-9.888,-5.371,-8.057
-0.214,0.730,-0.567,-9.583,-6.714,-10.620
-0.242,0.722,-0.541,-7.751,-6.226,-11.475
-0.252,0.714,-0.555,-3.845,-3.479,-10.559
-0.246,0.709,-0.593,-1.892,0.000,-8.240
-0.237,0.721,-0.615,-2.319,2.808,-6.531
-0.222,0.742,-0.627,-3.479,3.723,-6.165
-0.208,0.746,-0.641,-3.601,3.235,-7.446
-0.207,0.751,-0.649,-3.540,1.404,-9.949
-0.221,0.756,-0.642,-4.272,-0.366,-13.428
-0.245,0.756,-0.633,-4.517,-1.648,-16.235
-0.266,0.750,-0.626,-4.150,-2.808,-17.700
-0.285,0.725,-0.617,-2.869,-3.906,-18.738
-0.306,0.721,-0.607,-1.709,-4.761,-19.226
-0.314,0.726,-0.609,0.427,-4.883,-18.311
-0.309,0.736,-0.627,3.296,-4.456,-16.663
-0.298,0.761,-0.655,4.944,-2.991,-14.893
-0.273,0.798,-0.678,5.371,-1.892,-13.489
-0.244,0.842,-0.696,4.578,-1.953,-13.672
-0.220,0.881,-0.717,2.930,-3.113,-16.357
-0.214,0.912,-0.727,0.488,-4.822,-21.545
-0.223,0.939,-0.723,-2.625,-6.958,-28.320
-0.238,0.959,-0.719,-5.981,-8.179,-34.668
-0.251,0.989,-0.703,-10.437,-8.057,-39.429
-0.251,1.012,-0.681,-15.686,-6.897,-44.189
-0.241,1.056,-0.649,-20.630,-5.737,-49.744
-0.214,1.104,-0.618,-23.682,-5.432,-55.176
-0.189,1.149,-0.598,-25.879,-4.822,-61.707
-0.179,1.185,-0.576,-28.931,-4.883,-69.885
-0.188,1.205,-0.534,-33.997,-6.348,-78.552
-0.236,1.245,-0.456,-40.100,-8.179,-87.769

0.299,0.176,-0.976,-2.380,7.629,4.333
0.305,0.159,-0.987,-2.258,8.118,4.028
0.307,0.142,-0.999,-2.930,9.094,4.578
0.308,0.123,-1.016,-3.967,11.047,6.226
0.315,0.113,-1.030,-5.493,13.489,8.606
0.331,0.103,-1.046,-7.202,16.418,11.292
0.358,0.097,-1.065,-8.789,18.921,12.939
0.383,0.082,-1.090,-9.827,21.057,13.794
0.412,0.061,-1.118,-10.742,22.583,13.977
0.450,0.042,-1.143,-11.780,24.170,13.245
0.483,0.013,-1.175,-12.939,25.818,10.925
0.511,-0.027,-1.196,-14.526,26.367,7.568
0.547,-0.102,-1.199,-15.991,26.123,3.357
0.576,-0.223,-1.193,-17.090,25.879,-2.808
0.580,-0.378,-1.180,-15.930,25.024,-12.451
0.552,-0.526,-1.163,-11.353,21.973,-24.475
0.495,-0.650,-1.156,-3.174,17.578,-36.377
0.430,-0.753,-1.152,6.592,14.099,-44.189
0.368,-0.822,-1.146,15.076,13.123,-45.959
0.322,-0.862,-1.142,20.996,15.503,-42.114
0.289,-0.898,-1.147,25.574,20.020,-33.752
0.265,-0.906,-1.136,29.480,23.376,-23.926
0.252,-0.891,-1.111,33.875,25.818,-13.977
0.251,-0.845,-1.073,38.757,27.405,-4.272
0.256,-0.788,-1.044,44.495,29.663,5.005
0.275,-0.724,-1.034,50.964,32.288,13.306
0.286,-0.669,-1.039,57.129,34.119,18.799
0.275,-0.633,-1.043,61.401,32.532,19.836
0.244,-0.631,-1.028,64.880,25.085,16.479
0.188,-0.642,-0.974,66.833,11.475,9.705
0.120,-0.632,-0.902,66.711,-3.113,2.014
0.012,-0.629,-0.811,62.439,-15.625,-0.061
-0.103,-0.628,-0.704,54.443,-24.963,1.465
-0.229,-0.523,-0.560,38.452,-32.654,1.709
-0.385,-0.340,-0.352,19.348,-38.086,6.165
-0.624,-0.058,0.044,9.644,-38.635,14.465
-0.905,0.312,0.565,29.297,-35.156,25.269
-1.089,0.561,1.000,78.613,-29.236,50.903
-1.204,0.910,1.259,132.507,-22.644,87.463
-1.371,1.389,1.349,171.021,-11.475,117.981
-1.534,1.904,1.307,194.946,6.348,146.545
-1.609,2.376,1.150,205.933,25.330,182.678
-1.734,2.784,0.887,209.595,42.480,221.863
-1.775,3.148,0.490,212.402,61.829,261.658
-1.621,3.446,-0.082,216.431,92.834,306.091
-1.008,3.496,-0.854,225.708,123.108,336.182
-0.093,3.206,-1.540,235.962,111.938,331.909
0.827,2.748,-1.832,231.873,41.870,286.255
1.566,2.436,-1.765,197.632,-28.809,229.614
2.116,2.490,-1.599,127.686,-26.550,180.359
1.828,2.513,-1.692,37.476,55.298,114.014
1.373,1.975,-1.948,-12.939,123.413,20.386
0.635,1.570,-1.872,-45.776,94.177,-57.068
-0.057,1.194,-1.487,-58.350,4.944,-115.540
-0.596,0.793,-0.978,-52.429,-77.148,-147.034
-0.926,0.441,-0.518,-47.302,-109.009,-148.193
-1.015,0.219,-0.205,-50.293,-80.017,-114.746
-0.950,0.138,-0.057,-59.570,-14.954,-62.012
-0.848,0.214,-0.062,-63.354,47.119,-14.404
-0.719,0.353,-0.207,-51.208,81.848,16.602
-0.554,0.488,-0.420,-26.062,83.618,32.227
-0.421,0.593,-0.605,-4.028,59.814,31.982
-0.358,0.625,-0.708,10.132,26.001,16.724
-0.363,0.610,-0.753,19.592,-5.310,-5.920
-0.436,0.559,-0.745,24.658,-27.161,-21.362
-0.508,0.535,-0.747,24.719,-35.156,-24.841
-0.497,0.521,-0.771,22.278,-26.794,-14.343
-0.436,0.566,-0.798,16.052,-8.667,2.808
-0.350,0.614,-0.822,9.216,10.803,19.287
-0.257,0.697,-0.837,4.883,24.475,30.823
-0.187,0.755,-0.858,3.479,29.846,37.292
-0.144,0.782,-0.894,3.113,29.907,36.926
-0.137,0.776,-0.901,1.038,25.696,31.555
-0.147,0.773,-0.866,-2.380,17.517,23.193
-0.176,0.766,-0.819,-4.700,7.935,15.076
-0.200,0.744,-0.783,-5.493,0.183,9.155
-0.224,0.706,-0.750,-6.836,-4.639,4.944
-0.248,0.675,-0.710,-9.094,-6.897,2.808
-0.269,0.655,-0.667,-10.376,-7.629,2.991
-0.284,0.650,-0.633,-7.751,-7.263,4.028
-0.286,0.646,-0.640,-1.465,-6.042,5.737
-0.284,0.661,-0.680,4.639,-4.333,8.911
-0.262,0.673,-0.736,8.423,-1.038,13.000
-0.219,0.695,-0.786,8.728,3.357,17.822
-0.170,0.721,-0.820,5.859,7.568,21.790
-0.123,0.740,-0.837,1.770,9.277,23.254
-0.081,0.757,-0.843,-2.563,8.301,22.034
-0.057,0.755,-0.829,-6.714,5.798,18.188
-0.059,0.751,-0.790,-10.193,2.380,12.512
-0.070,0.736,-0.753,-11.780,-0.793,7.141
-0.084,0.712,-0.720,-11.597,-3.723,2.625
-0.104,0.691,-0.672,-10.010,-6.714,-1.038
-0.123,0.666,-0.623,-5.615,-9.277,-3.296
-0.146,0.632,-0.599,-0.061,-10.498,-4.395
-0.167,0.616,-0.597,4.211,-8.362,-4.272
-0.176,0.617,-0.618,6.042,-2.808,-2.197
-0.172,0.626,-0.660,6.714,3.601,1.282
-0.165,0.633,-0.707,5.920,8.057,3.479
-0.165,0.635,-0.736,4.822,9.033,3.784
-0.161,0.643,-0.747,3.113,6.592,2.563
-0.165,0.649,-0.740,1.404,3.174,0.977
-0.176,0.658,-0.726,0.427,0.793,-1.160
-0.182,0.657,-0.714,-0.244,0.366,-2.197
-0.188,0.661,-0.716,0.000,1.038,-1.831
-0.199,0.666,-0.723,0.916,2.258,-1.587
-0.207,0.668,-0.721,2.319,2.930,-1.892
-0.208,0.671,-0.728,5.432,2.136,-2.258
-0.213,0.673,-0.753,8.301,0.977,-2.502
-0.219,0.671,-0.783,9.399,0.488,-3.174
-0.226,0.676,-0.798,7.568,-0.366,-3.479
-0.231,0.677,-0.794,4.822,-1.587,-3.540
-0.229,0.673,-0.780,2.075,-1.953,-3.540
-0.226,0.674,-0.765,-0.671,-1.526,-3.174
-0.219,0.672,-0.752,-2.625,-1.282,-2.869
-0.222,0.666,-0.743,-3.540,-1.892,-3.479
-0.225,0.665,-0.738,-3.723,-3.235,-4.272
-0.229,0.658,-0.726,-3.235,-4.456,-4.639
-0.230,0.649,-0.714,-2.625,-5.432,-4.822
-0.228,0.648,-0.703,-2.258,-5.920,-4.700

0.295,0.177,-0.998,1.404,4.883,0.244
0.302,0.157,-1.005,0.793,5.493,-0.671
0.303,0.137,-1.009,-0.061,6.348,-1.099
0.308,0.114,-1.017,-0.854,7.690,-0.549
0.309,0.085,-1.029,-2.014,9.521,0.549
0.320,0.065,-1.036,-3.113,11.353,2.380
0.337,0.045,-1.043,-4.089,13.794,3.845
0.362,0.023,-1.059,-4.150,15.991,4.089
0.392,-0.001,-1.076,-2.930,16.663,3.052
0.414,-0.043,-1.106,-0.488,16.357,-0.061
0.429,-0.094,-1.135,1.770,15.503,-3.967
0.435,-0.154,-1.152,3.967,13.489,-8.118
0.442,-0.220,-1.148,5.615,11.108,-11.597
0.450,-0.283,-1.132,6.775,10.254,-13.916
0.453,-0.344,-1.107,7.935,11.780,-15.503
0.460,-0.404,-1.092,10.010,14.465,-16.846
0.461,-0.460,-1.096,14.404,17.273,-17.517
0.452,-0.524,-1.114,21.057,19.409,-17.395
0.450,-0.574,-1.138,28.442,20.691,-18.005
0.436,-0.602,-1.148,33.020,22.278,-18.127
0.422,-0.629,-1.157,36.682,24.536,-16.724
0.402,-0.647,-1.159,40.405,26.184,-14.709
0.390,-0.669,-1.163,44.983,27.466,-11.169
0.386,-0.704,-1.170,50.598,27.649,-7.935
0.367,-0.733,-1.174,56.213,26.184,-6.409
0.332,-0.745,-1.159,61.096,23.743,-4.578
0.292,-0.752,-1.141,66.650,20.508,-1.221
0.228,-0.774,-1.130,71.655,15.259,4.944
0.188,-0.848,-1.095,75.623,8.179,8.911
0.110,-0.841,-1.028,75.806,-0.793,9.888
0.011,-0.791,-0.915,69.031,-9.705,13.123
-0.107,-0.743,-0.771,63.538,-16.113,17.334
-0.279,-0.661,-0.567,61.707,-20.630,22.827
-0.468,-0.550,-0.301,64.270,-24.963,28.687
-0.661,-0.405,-0.023,71.472,-27.283,40.405
-0.813,-0.203,0.247,77.637,-23.865,58.777
-0.992,0.137,0.529,78.857,-13.550,81.177
-1.163,0.617,0.850,82.336,1.221,105.225
-1.327,1.203,1.179,94.421,14.893,131.409
-1.594,1.781,1.543,119.446,22.095,151.184
-1.885,2.370,1.755,152.710,21.912,172.852
-2.121,2.953,1.719,190.796,21.301,212.708
-2.255,3.408,1.269,230.652,39.185,272.217
-2.181,3.741,0.420,254.211,88.928,334.778
-1.688,3.929,-0.703,256.958,152.222,380.127
-0.569,3.684,-1.681,251.648,170.288,391.052
0.675,3.138,-2.062,237.183,98.572,357.544
1.807,2.891,-1.983,195.251,7.263,295.959
2.371,3.167,-1.911,112.305,6.653,233.826
2.223,3.126,-2.229,17.578,99.670,139.526
1.458,2.416,-2.573,-38.330,155.396,18.005
0.595,1.796,-2.272,-64.148,66.284,-99.121
-0.213,1.358,-1.515,-69.214,-83.252,-173.401
-0.862,0.845,-0.718,-68.481,-166.809,-213.867
-1.246,0.387,-0.154,-69.519,-157.593,-212.341
-1.344,0.046,0.160,-76.782,-89.417,-158.325
-1.267,-0.040,0.236,-84.595,-1.221,-85.938
-1.109,0.094,0.101,-81.726,71.411,-18.982
-0.873,0.244,-0.121,-63.354,106.567,28.503
-0.622,0.413,-0.357,-38.330,102.722,51.514
-0.426,0.573,-0.520,-17.883,70.679,50.659
-0.303,0.648,-0.623,-0.977,29.907,26.428
-0.294,0.631,-0.665,13.489,-7.507,-5.798
-0.378,0.565,-0.670,23.743,-36.926,-33.630
-0.477,0.511,-0.655,28.931,-54.749,-46.631
-0.538,0.461,-0.661,29.175,-55.054,-42.603
-0.541,0.448,-0.658,23.193,-38.330,-27.222
-0.503,0.476,-0.665,12.817,-13.062,-5.371
-0.410,0.537,-0.663,3.235,10.437,18.188
-0.303,0.630,-0.687,-2.930,27.954,35.706
-0.211,0.687,-0.730,-4.639,36.682,43.701
-0.161,0.736,-0.756,-4.944,36.255,42.969
-0.138,0.750,-0.777,-4.028,28.320,35.339
-0.151,0.758,-0.752,-2.991,17.334,25.696
-0.186,0.752,-0.718,-1.282,5.737,14.954
-0.214,0.715,-0.683,1.282,-2.258,6.592
-0.248,0.685,-0.654,2.014,-6.104,1.099
-0.281,0.652,-0.639,2.014,-6.226,-1.587
-0.318,0.643,-0.636,2.563,-4.883,-1.831
-0.338,0.643,-0.648,5.249,-3.601,0.610
-0.349,0.639,-0.675,9.399,-2.075,4.272
-0.345,0.637,-0.706,12.634,0.122,8.545
-0.322,0.647,-0.740,13.123,2.686,13.367
-0.291,0.662,-0.767,10.498,6.104,17.883
-0.262,0.691,-0.791,6.287,9.766,20.996
-0.224,0.724,-0.802,1.526,11.719,22.583
-0.181,0.746,-0.791,-3.052,11.780,22.461
-0.144,0.759,-0.761,-6.348,9.949,20.081
-0.123,0.762,-0.723,-7.141,6.165,15.747
-0.108,0.750,-0.689,-6.104,1.892,10.376
-0.112,0.736,-0.663,-4.150,-1.709,4.822
-0.129,0.713,-0.643,-0.793,-4.883,-0.793
-0.161,0.682,-0.630,3.723,-8.423,-5.005
-0.194,0.654,-0.627,7.874,-11.353,-7.935
-0.223,0.633,-0.624,10.925,-12.146,-8.423
-0.242,0.630,-0.625,12.634,-10.254,-7.202
-0.247,0.633,-0.642,13.611,-6.042,-4.456
-0.243,0.645,-0.668,13.794,-1.770,-1.343
-0.232,0.664,-0.697,13.123,2.075,2.075
-0.221,0.682,-0.723,11.292,5.188,4.333
-0.204,0.700,-0.749,8.911,7.446,5.188
-0.195,0.716,-0.757,6.042,8.972,4.639
-0.187,0.734,-0.761,4.089,8.667,3.174
-0.190,0.736,-0.769,3.601,7.141,0.671
-0.208,0.724,-0.770,3.479,4.700,-2.808
-0.238,0.706,-0.758,3.174,1.770,-5.432
-0.267,0.684,-0.742,2.808,-0.610,-6.714
-0.285,0.671,-0.730,2.136,-1.221,-5.981
-0.289,0.668,-0.730,1.282,0.122,-4.089
-0.284,0.665,-0.732,0.244,2.319,-2.075
-0.274,0.674,-0.736,-1.221,3.784,0.122
-0.266,0.682,-0.739,-2.014,4.272,1.465
-0.257,0.681,-0.735,-2.502,3.967,1.648
-0.255,0.671,-0.733,-2.686,3.235,1.587
-0.255,0.669,-0.725,-3.052,2.075,1.953
-0.249,0.669,-0.713,-3.540,1.221,2.441
-0.242,0.671,-0.702,-3.418,1.099,3.174
-0.237,0.672,-0.697,-3.235,1.282,3.845
-0.231,0.672,-0.692,-3.479,1.526,4.028

0.233,0.170,-1.000,-0.916,3.479,-1.404
0.248,0.160,-1.009,-0.977,3.784,-1.526
0.259,0.146,-1.017,-1.099,4.456,-2.014
0.272,0.135,-1.028,-1.038,5.188,-3.113
0.288,0.121,-1.043,-0.427,6.287,-3.784
0.300,0.104,-1.070,-0.061,7.996,-4.028
0.322,0.089,-1.099,-0.854,10.193,-3.845
0.344,0.071,-1.132,-2.747,13.428,-3.601
0.363,0.045,-1.166,-4.700,16.235,-3.906
0.384,0.008,-1.198,-6.409,17.761,-4.761
0.407,-0.039,-1.224,-7.019,18.921,-6.836
0.429,-0.104,-1.250,-7.385,20.020,-10.376
0.448,-0.165,-1.258,-7.874,20.935,-14.587
0.459,-0.240,-1.254,-6.897,21.851,-19.226
0.465,-0.319,-1.237,-4.639,22.278,-25.085
0.454,-0.390,-1.214,-1.770,21.790,-31.006
0.445,-0.467,-1.182,2.625,21.545,-35.645
0.409,-0.523,-1.159,8.301,21.423,-37.720
0.424,-0.645,-1.154,17.639,21.729,-37.415
0.387,-0.745,-1.125,26.245,20.874,-35.645
0.359,-0.779,-1.100,33.691,19.287,-41.016
0.314,-0.819,-1.081,43.152,20.752,-39.490
0.279,-0.855,-1.080,53.040,22.644,-31.921
0.250,-0.925,-1.072,60.730,23.987,-21.362
0.193,-0.926,-1.054,64.697,23.254,-11.230
0.129,-0.932,-1.032,70.557,21.545,-3.052
0.065,-0.934,-1.006,78.308,17.334,3.906
0.005,-0.914,-0.979,87.036,10.620,12.268
-0.046,-0.882,-0.921,92.712,3.601,24.170
-0.113,-0.823,-0.833,96.680,-1.160,35.767
-0.169,-0.754,-0.732,99.792,-2.869,43.091
-0.260,-0.614,-0.623,98.328,-3.418,51.025
-0.316,-0.537,-0.505,94.604,-2.991,60.181
-0.424,-0.330,-0.364,84.412,-5.005,63.110
-0.548,-0.059,-0.177,70.923,-8.362,68.115
-0.673,0.227,0.080,60.791,-9.949,74.646
-0.870,0.574,0.444,58.228,-6.226,78.186
-1.094,1.013,0.871,71.899,-5.859,83.679
-1.267,1.411,1.271,102.722,-13.672,100.708
-1.404,1.817,1.546,141.235,-22.583,121.338
-1.482,2.204,1.584,178.528,-21.790,151.306
-1.549,2.616,1.394,210.999,-9.583,192.993
-1.509,2.920,0.934,236.450,15.930,239.258
-1.375,3.206,0.266,240.112,59.570,280.945
-1.036,3.381,-0.610,224.670,112.488,308.105
-0.298,3.214,-1.461,209.961,136.353,309.692
0.538,2.791,-1.965,192.078,98.206,280.273
1.136,2.406,-1.974,160.583,18.860,219.177
1.362,2.236,-1.698,112.915,-33.325,149.475
1.337,2.137,-1.414,54.565,-24.292,82.092
1.105,1.978,-1.340,6.348,20.142,20.996
0.717,1.622,-1.340,-23.621,49.866,-29.297
0.224,1.287,-1.265,-39.978,36.377,-75.256
-0.277,0.967,-1.060,-46.509,-3.479,-111.572
-0.645,0.649,-0.779,-44.128,-42.725,-126.770
-0.856,0.429,-0.511,-44.373,-56.091,-115.356
-0.896,0.304,-0.332,-50.964,-33.081,-81.970
-0.813,0.352,-0.238,-59.265,9.460,-39.612
-0.665,0.447,-0.277,-59.204,49.805,-2.502
-0.504,0.549,-0.413,-47.363,69.397,18.799
-0.368,0.625,-0.550,-32.349,64.026,23.254
-0.300,0.627,-0.634,-18.005,40.466,12.268
-0.343,0.596,-0.663,-6.287,10.925,-7.507
-0.443,0.539,-0.668,2.075,-12.512,-27.039
-0.548,0.485,-0.670,6.836,-24.292,-34.485
-0.604,0.497,-0.680,7.690,-23.499,-27.344
-0.548,0.536,-0.701,6.592,-10.620,-7.996
-0.422,0.603,-0.729,4.028,9.521,15.320
-0.283,0.697,-0.780,0.854,29.724,34.546
-0.185,0.774,-0.838,-1.038,42.053,44.495
-0.133,0.798,-0.892,-1.465,43.945,43.640
-0.141,0.785,-0.911,-3.174,36.682,33.936
-0.182,0.757,-0.886,-6.104,23.987,21.606
-0.217,0.731,-0.815,-8.972,10.498,10.864
-0.249,0.704,-0.733,-10.864,1.343,3.479
-0.277,0.677,-0.676,-10.620,-2.686,-0.793
-0.311,0.661,-0.634,-9.155,-3.601,-2.563
-0.338,0.660,-0.603,-5.859,-2.319,-1.465
-0.345,0.654,-0.617,0.671,0.427,2.319
-0.336,0.649,-0.668,7.019,4.089,7.812
-0.318,0.656,-0.730,9.460,7.751,13.123
-0.303,0.658,-0.781,7.874,11.047,17.090
-0.282,0.672,-0.800,3.418,12.695,19.226
-0.249,0.689,-0.802,-1.465,12.878,20.752
-0.205,0.696,-0.802,-5.310,12.390,21.484
-0.178,0.710,-0.780,-9.094,11.536,19.897
-0.159,0.710,-0.733,-10.803,8.728,16.602
-0.149,0.702,-0.691,-9.521,5.676,13.306
-0.154,0.689,-0.673,-7.019,2.808,9.827
-0.172,0.670,-0.661,-4.395,1.282,6.226
-0.188,0.658,-0.636,-2.258,0.000,3.052
-0.191,0.638,-0.619,0.916,-1.343,1.892
-0.200,0.618,-0.620,3.662,-1.648,1.526
-0.213,0.607,-0.633,5.188,-0.488,1.099
-0.230,0.603,-0.648,5.554,0.977,1.343
-0.241,0.606,-0.668,5.066,2.625,2.197
-0.240,0.613,-0.690,4.211,4.517,3.662
-0.235,0.630,-0.706,2.869,6.104,5.188
-0.226,0.653,-0.714,1.282,7.324,5.554
-0.222,0.669,-0.720,0.671,8.545,5.432
-0.221,0.682,-0.724,0.854,8.545,4.578
-0.220,0.685,-0.732,1.587,7.812,3.662
-0.230,0.690,-0.734,2.319,7.202,2.441
-0.244,0.679,-0.738,3.418,6.042,0.488
-0.259,0.680,-0.738,4.517,4.028,-1.038
-0.271,0.674,-0.742,6.042,2.136,-1.465
-0.277,0.674,-0.753,6.714,1.709,-1.648
-0.278,0.674,-0.764,6.042,2.441,-0.854
-0.277,0.673,-0.767,4.456,3.418,-0.488
-0.272,0.673,-0.764,3.296,3.052,-0.793
-0.269,0.672,-0.755,2.930,1.587,-1.221
-0.270,0.662,-0.754,2.747,0.183,-2.075
-0.276,0.658,-0.748,1.709,-0.671,-2.686
-0.278,0.657,-0.739,0.000,-0.488,-2.319
-0.280,0.659,-0.727,-1.831,0.610,-1.465
-0.277,0.656,-0.714,-2.991,1.831,-0.549
-0.273,0.653,-0.702,-3.052,2.869,0.305
-0.268,0.642,-0.694,-2.502,2.869,0.366
-0.269,0.635,-0.684,-1.160,1.892,-0.488

0.219,0.191,-0.989,5.005,3.601,-3.052
0.231,0.190,-0.997,5.066,4.517,-2.380
0.248,0.187,-1.002,4.517,5.920,-1.648
0.268,0.177,-1.016,4.272,7.446,-1.953
0.291,0.160,-1.033,4.639,8.850,-2.808
0.307,0.140,-1.049,4.517,9.216,-3.723
0.322,0.114,-1.064,4.028,9.888,-4.578
0.331,0.077,-1.073,3.662,10.742,-5.920
0.342,0.037,-1.077,3.296,11.292,-6.958
0.360,0.000,-1.079,3.357,12.268,-7.263
0.382,-0.038,-1.089,3.845,14.404,-8.118
0.408,-0.086,-1.106,4.761,16.724,-9.155
0.435,-0.153,-1.132,6.897,18.982,-10.315
0.462,-0.224,-1.153,8.606,20.996,-11.841
0.474,-0.291,-1.162,10.010,22.949,-14.404
0.468,-0.359,-1.162,12.024,24.475,-19.348
0.456,-0.421,-1.153,16.724,24.231,-25.635
0.437,-0.482,-1.151,23.560,23.682,-31.189
0.409,-0.540,-1.169,31.616,24.170,-35.645
0.369,-0.594,-1.193,39.001,25.208,-39.001
0.328,-0.624,-1.206,44.495,25.879,-39.063
0.297,-0.640,-1.207,47.852,26.611,-34.729
0.276,-0.655,-1.208,50.049,28.931,-27.466
0.246,-0.647,-1.222,50.659,31.921,-19.409
0.220,-0.641,-1.228,51.208,33.997,-12.024
0.180,-0.642,-1.211,52.368,32.837,-5.676
0.122,-0.636,-1.165,54.260,28.381,-1.587
0.064,-0.636,-1.084,57.190,21.667,2.808
0.020,-0.639,-1.008,60.425,15.564,9.766
-0.039,-0.605,-0.903,60.242,11.230,17.883
-0.099,-0.555,-0.773,59.387,10.681,25.208
-0.180,-0.479,-0.616,59.631,11.597,33.936
-0.261,-0.427,-0.408,61.218,14.282,44.067
-0.342,-0.283,-0.172,62.256,17.273,49.011
-0.450,-0.091,0.075,67.261,23.376,57.800
-0.572,0.152,0.345,76.416,30.945,68.359
-0.718,0.496,0.686,91.980,40.344,78.613
-0.849,0.922,1.001,115.906,50.720,85.022
-1.085,1.386,1.263,143.799,57.617,84.778
-1.420,1.888,1.369,179.321,45.410,84.717
-1.790,2.335,1.279,220.764,10.803,102.966
-2.061,2.689,0.984,255.371,-15.625,148.621
-2.154,3.013,0.513,270.447,-7.568,210.999
-1.936,3.257,-0.176,264.709,31.616,273.560
-1.261,3.288,-0.918,247.620,67.078,323.792
-0.145,3.054,-1.416,225.098,61.340,343.750
0.757,2.802,-1.511,181.641,23.193,323.303
1.275,2.652,-1.506,121.521,10.803,264.465
1.546,2.599,-1.652,62.012,49.072,202.637
1.543,2.440,-1.925,7.080,99.121,137.512
1.263,2.021,-2.023,-31.982,106.018,56.946
0.659,1.686,-1.724,-59.814,43.640,-35.217
-0.003,1.240,-1.173,-67.017,-42.603,-115.540
-0.615,0.789,-0.592,-61.523,-105.835,-165.283
-1.016,0.407,-0.132,-58.044,-113.770,-169.250
-1.155,0.139,0.098,-59.326,-62.561,-131.409
-1.100,0.094,0.086,-63.660,8.240,-72.632
-0.965,0.251,-0.095,-62.134,61.584,-15.747
-0.745,0.398,-0.324,-48.523,80.811,21.362
-0.533,0.573,-0.501,-31.799,67.383,35.095
-0.349,0.672,-0.611,-19.287,40.222,26.733
-0.260,0.718,-0.657,-12.390,12.512,1.953
-0.261,0.635,-0.631,-7.202,-12.146,-26.794
-0.384,0.554,-0.564,-4.089,-33.508,-52.002
-0.539,0.458,-0.494,1.343,-49.011,-65.369
-0.653,0.386,-0.463,9.033,-52.185,-62.073
-0.668,0.370,-0.494,14.893,-40.039,-42.908
-0.589,0.415,-0.559,13.611,-16.296,-13.000
-0.460,0.527,-0.637,6.348,10.254,16.541
-0.297,0.668,-0.724,0.305,30.151,38.635
-0.146,0.802,-0.811,-3.662,38.086,46.631
-0.045,0.878,-0.878,-5.920,35.889,39.673
