aX,aY,aZ,gX,gY,gZ
-0.204,0.242,0.065,-353.271,-211.975,-97.107
0.424,-0.613,1.399,80.750,15.381,5.371
0.435,-0.635,1.446,89.050,20.630,11.230
0.444,-0.638,1.509,95.886,28.503,19.043
0.450,-0.647,1.564,104.736,38.391,27.771
0.458,-0.651,1.586,117.249,51.147,36.621
0.455,-0.648,1.597,128.052,68.054,48.950
0.468,-0.620,1.611,138.672,83.435,60.425
0.497,-0.599,1.628,151.428,96.558,67.688
0.508,-0.561,1.629,167.419,107.422,68.909
0.486,-0.530,1.590,188.049,116.455,66.162
0.442,-0.501,1.520,207.886,124.268,62.439
0.398,-0.488,1.452,224.915,132.141,59.021
0.343,-0.477,1.383,237.366,140.625,59.082
0.275,-0.482,1.325,246.399,148.743,63.171
0.232,-0.479,1.272,253.357,156.860,71.350
0.208,-0.464,1.245,254.211,163.086,81.421
0.167,-0.430,1.242,254.272,169.861,88.806
0.133,-0.401,1.220,260.559,182.190,93.445
0.073,-0.352,1.157,271.667,198.486,96.985
0.005,-0.282,1.056,283.630,215.027,100.952
-0.009,-0.221,0.936,292.725,227.905,103.882
-0.029,-0.167,0.808,296.387,237.305,104.736
-0.120,-0.099,0.728,293.518,247.498,101.196
-0.070,-0.161,0.601,289.246,256.836,96.252
-0.089,-0.143,0.494,291.260,262.146,98.572
-0.068,-0.089,0.399,287.292,265.625,99.304
-0.034,-0.105,0.324,283.691,268.921,94.482
-0.042,-0.083,0.314,277.649,267.151,86.121
-0.073,-0.126,0.338,275.269,262.695,73.547
-0.113,-0.154,0.340,282.227,259.766,63.049
-0.206,-0.142,0.289,298.462,259.583,57.739
-0.283,-0.085,0.152,318.298,260.742,55.359
-0.374,-0.007,-0.015,332.397,265.137,56.641
-0.489,0.086,-0.193,335.815,270.081,62.622
-0.598,0.215,-0.374,329.834,270.935,73.730
-0.713,0.356,-0.537,315.552,271.362,89.233
-0.833,0.561,-0.727,297.546,274.536,108.215
-0.974,0.826,-0.964,279.297,285.950,128.296
-1.182,1.191,-1.281,260.986,299.561,147.278
-1.417,1.614,-1.674,247.620,311.768,162.476
-1.558,1.989,-2.150,237.854,319.702,169.189
-1.497,2.256,-2.651,222.778,314.758,158.813
-1.193,2.296,-3.161,195.374,280.762,123.474
-0.793,2.072,-3.593,160.461,210.815,66.895
-0.403,1.660,-3.644,105.957,108.337,4.272
-0.258,1.250,-3.081,22.766,-3.540,-51.758
-0.249,0.806,-2.154,-65.247,-82.153,-92.102
-0.274,0.402,-1.120,-132.446,-112.122,-111.938
-0.264,-0.026,-0.324,-151.428,-106.018,-110.474
-0.086,-0.485,0.023,-118.164,-83.313,-90.027
0.146,-0.815,0.028,-68.848,-54.443,-60.608
0.300,-0.980,-0.129,-30.762,-23.743,-33.752
0.335,-0.995,-0.336,-4.639,2.686,-12.512
0.274,-0.855,-0.520,13.367,21.423,4.089
0.147,-0.626,-0.707,26.855,34.180,17.029
0.042,-0.342,-0.934,37.048,42.297,27.222
-0.027,-0.090,-1.193,41.016,46.082,32.593
-0.070,0.101,-1.383,36.499,45.166,30.701
-0.063,0.245,-1.480,27.283,33.813,24.963
-0.023,0.326,-1.474,18.372,13.489,17.761
0.053,0.358,-1.376,7.812,-4.211,9.460
0.137,0.334,-1.232,-2.075,-15.137,2.625
0.215,0.290,-1.087,-8.606,-21.362,-2.563
0.301,0.227,-0.968,-10.254,-24.475,-5.127
0.371,0.149,-0.884,-8.667,-24.353,-7.324
0.411,0.079,-0.833,-6.470,-20.264,-9.644
0.438,-0.002,-0.811,-3.174,-14.648,-11.169
0.436,-0.057,-0.807,-0.244,-9.644,-11.719
0.413,-0.091,-0.834,2.380,-5.127,-12.512
0.364,-0.109,-0.902,5.127,-1.160,-13.306
0.294,-0.107,-0.976,6.897,2.319,-13.855
0.216,-0.099,-1.032,6.897,4.456,-13.550
0.147,-0.086,-1.070,5.920,4.028,-11.841
0.107,-0.073,-1.096,4.456,2.686,-8.484
0.100,-0.070,-1.099,2.319,1.953,-4.883
0.115,-0.070,-1.073,-0.183,1.038,-1.587
0.145,-0.064,-1.031,-1.587,0.244,0.854
0.183,-0.060,-1.001,-0.427,0.000,1.404
0.197,-0.042,-0.984,1.465,-0.488,0.610
0.207,-0.024,-0.989,3.845,-0.916,-0.977
0.207,-0.001,-1.004,5.676,-0.610,-2.441
0.206,0.009,-1.021,6.348,-0.244,-3.235
0.192,0.023,-1.037,5.615,-0.061,-3.296
0.176,0.040,-1.056,4.028,-0.854,-2.991
0.173,0.049,-1.077,2.014,-1.465,-1.953
0.167,0.055,-1.088,-1.282,-2.686,-1.038
0.160,0.058,-1.084,-5.249,-4.272,-0.854
0.172,0.050,-1.077,-8.423,-5.493,-1.038
0.189,0.029,-1.060,-10.986,-5.981,-1.892
0.204,0.003,-1.023,-12.878,-6.592,-3.357
0.217,-0.025,-0.986,-12.512,-7.568,-4.700
0.227,-0.047,-0.956,-9.888,-8.484,-6.165
0.238,-0.075,-0.946,-5.981,-8.484,-7.019
0.235,-0.086,-0.949,-2.319,-7.324,-7.629
0.228,-0.091,-0.964,1.038,-6.042,-7.629
0.220,-0.088,-0.988,3.052,-4.761,-6.836
0.200,-0.074,-1.017,3.418,-3.540,-5.371
0.178,-0.053,-1.054,2.747,-2.502,-4.028
0.161,-0.024,-1.089,0.732,-2.380,-2.258
0.142,0.006,-1.113,-2.808,-2.991,-0.427
0.124,0.034,-1.136,-6.470,-4.028,0.488
0.104,0.067,-1.161,-10.925,-5.859,0.366
0.063,0.098,-1.191,-14.526,-8.850,-0.793
0.019,0.131,-1.222,-18.555,-11.780,-2.319
-0.017,0.162,-1.266,-22.766,-14.465,-3.357
-0.061,0.188,-1.310,-28.076,-18.677,-2.991
-0.078,0.199,-1.355,-34.729,-23.682,-2.441
-0.089,0.209,-1.372,-43.762,-29.663,-2.014
-0.092,0.208,-1.351,-53.406,-36.499,-2.686
-0.086,0.202,-1.312,-61.890,-43.823,-3.662
-0.076,0.184,-1.266,-68.481,-51.025,-4.150
-0.058,0.159,-1.221,-73.792,-57.739,-4.150
-0.035,0.133,-1.189,-78.247,-63.843,-3.845
-0.020,0.115,-1.176,-82.520,-68.420,-3.906
-0.001,0.101,-1.179,-86.609,-72.998,-4.333
0.026,0.089,-1.188,-91.614,-78.552,-5.005
0.053,0.078,-1.190,-99.548,-85.144,-7.324
0.062,0.066,-1.156,-109.924,-91.919,-11.353
0.065,0.044,-1.089,-120.178,-98.450,-16.174
0.546,-0.497,1.250,111.694,70.801,3.601
0.539,-0.478,1.220,117.554,78.003,5.310
0.526,-0.460,1.185,125.305,82.703,6.165
0.511,-0.431,1.149,133.667,84.900,5.859
0.498,-0.423,1.113,142.639,86.365,5.981
0.483,-0.411,1.068,151.123,88.196,6.470
0.467,-0.405,1.025,158.508,91.553,7.935
0.451,-0.384,0.989,164.185,97.046,9.888
0.447,-0.381,0.958,168.274,102.356,11.230
0.443,-0.390,0.926,172.546,104.919,11.292
0.433,-0.383,0.901,176.453,106.934,11.841
0.417,-0.384,0.887,178.772,110.046,12.695
0.410,-0.396,0.873,179.871,114.868,13.733
0.398,-0.410,0.863,179.749,120.911,15.991
0.370,-0.396,0.850,180.725,129.333,19.592
0.346,-0.378,0.833,184.265,139.648,23.437
0.319,-0.361,0.796,190.979,149.780,26.367
0.293,-0.336,0.753,198.181,159.912,28.687
0.265,-0.314,0.705,204.163,171.082,30.762
0.217,-0.279,0.663,208.984,181.458,32.288
0.242,-0.300,0.574,212.952,191.101,33.142
0.274,-0.356,0.507,219.055,201.782,36.682
0.274,-0.329,0.463,215.332,211.853,40.161
0.255,-0.333,0.430,209.778,219.116,38.635
0.186,-0.291,0.395,206.482,227.051,36.194
0.124,-0.260,0.346,203.369,235.046,34.607
0.098,-0.290,0.271,202.393,240.173,33.691
0.044,-0.276,0.198,201.965,243.958,33.875
0.017,-0.290,0.140,200.928,250.305,33.875
0.006,-0.325,0.097,204.102,254.517,33.630
-0.033,-0.304,0.047,212.097,254.578,34.119
-0.083,-0.201,-0.027,221.619,253.479,33.569
-0.165,-0.115,-0.148,230.042,256.897,27.283
-0.296,-0.030,-0.303,235.168,263.611,19.958
-0.435,0.041,-0.498,238.281,268.250,17.639
-0.561,0.115,-0.732,240.234,269.775,23.621
-0.679,0.231,-1.025,239.563,268.616,35.950
-0.850,0.368,-1.390,236.023,270.508,49.622
-1.041,0.545,-1.792,226.990,277.100,65.552
-1.238,0.734,-2.220,215.149,284.119,86.121
-1.353,0.907,-2.643,200.745,283.630,106.995
-1.229,1.017,-2.967,183.411,263.000,117.981
-0.901,1.019,-3.195,156.006,218.628,109.314
-0.522,0.837,-3.222,112.183,159.363,79.102
-0.245,0.642,-2.944,52.368,88.257,38.391
-0.137,0.448,-2.459,-6.958,6.836,-4.028
-0.042,0.193,-1.877,-46.265,-68.970,-42.419
0.040,-0.020,-1.312,-72.876,-119.812,-72.876
0.064,-0.238,-0.824,-88.074,-138.794,-91.614
0.052,-0.456,-0.463,-86.243,-133.179,-97.534
0.069,-0.668,-0.241,-67.139,-111.450,-91.858
0.109,-0.841,-0.171,-39.429,-83.557,-75.989
0.151,-0.932,-0.212,-12.939,-55.481,-54.932
0.163,-0.953,-0.320,5.798,-27.100,-33.020
0.142,-0.869,-0.467,16.785,-2.136,-12.329
0.105,-0.736,-0.629,22.949,18.433,4.517
0.092,-0.583,-0.803,27.161,35.217,16.663
0.105,-0.438,-0.965,31.006,43.213,24.902
0.145,-0.311,-1.095,33.752,41.321,27.832
0.190,-0.184,-1.171,34.485,30.884,25.146
0.232,-0.090,-1.202,35.095,16.296,18.982
0.273,-0.037,-1.197,34.912,1.648,11.475
0.320,-0.010,-1.164,32.043,-8.911,4.639
0.363,-0.013,-1.116,27.039,-14.771,1.221
0.392,-0.033,-1.062,19.470,-15.320,-1.282
0.422,-0.078,-1.009,11.108,-12.146,-3.357
0.442,-0.127,-0.937,3.967,-9.766,-4.272
0.441,-0.187,-0.873,0.549,-9.033,-5.554
0.419,-0.238,-0.829,0.977,-8.362,-7.263
0.402,-0.290,-0.817,4.639,-6.531,-7.385
0.373,-0.327,-0.824,8.240,-4.089,-7.019
0.329,-0.341,-0.853,11.475,-0.732,-6.287
0.299,-0.344,-0.892,14.404,2.808,-4.944
0.265,-0.337,-0.930,15.503,6.348,-3.723
0.242,-0.338,-0.953,15.137,8.850,-2.258
0.214,-0.322,-0.973,14.465,9.644,-0.610
0.184,-0.295,-0.995,14.221,8.972,1.282
0.172,-0.271,-1.019,14.832,7.935,3.418
0.171,-0.253,-1.027,15.137,6.592,5.432
0.181,-0.239,-1.031,14.465,4.761,7.263
0.195,-0.223,-1.027,13.306,3.174,8.972
0.225,-0.210,-1.023,11.902,2.197,9.827
0.252,-0.207,-1.011,9.949,1.587,9.460
0.267,-0.203,-0.996,7.996,0.793,8.301
0.270,-0.197,-0.990,7.080,0.000,6.409
0.274,-0.194,-0.994,6.592,-1.038,4.517
0.283,-0.200,-1.002,5.920,-2.380,2.991
0.293,-0.211,-0.995,4.089,-4.028,1.343
0.289,-0.217,-0.975,1.526,-4.456,0.000
0.276,-0.221,-0.964,0.916,-4.028,-0.977
0.277,-0.225,-0.962,2.075,-3.662,-1.648
0.277,-0.238,-0.964,3.723,-3.662,-2.441
0.270,-0.240,-0.963,4.578,-3.601,-3.235
0.261,-0.241,-0.959,4.822,-2.930,-3.479
0.255,-0.242,-0.960,5.676,-1.953,-2.808
0.267,-0.245,-0.964,6.226,-1.038,-1.526
0.268,-0.242,-0.967,6.409,-0.916,-0.305
0.267,-0.236,-0.971,6.104,-1.099,0.488
0.268,-0.228,-0.983,6.470,-1.343,1.526
0.279,-0.226,-0.993,6.104,-2.258,1.953
0.283,-0.221,-0.991,4.456,-2.930,2.014
0.289,-0.217,-0.982,2.991,-3.235,1.465
0.287,-0.214,-0.970,2.197,-3.235,0.549
0.292,-0.219,-0.966,2.380,-3.357,-0.610
0.300,-0.228,-0.955,3.113,-3.845,-1.648
0.298,-0.233,-0.945,3.723,-4.272,-2.747
0.293,-0.233,-0.951,4.944,-4.395,-3.662
0.288,-0.229,-0.959,5.615,-4.333,-3.906
0.285,-0.227,-0.968,5.310,-3.723,-3.662
0.286,-0.224,-0.969,4.395,-3.540,-2.991
0.291,-0.223,-0.967,3.967,-3.357,-2.563
0.285,-0.221,-0.962,3.662,-3.540,-2.502
0.280,-0.220,-0.965,4.028,-3.662,-2.197
0.278,-0.217,-0.971,4.639,-3.967,-1.648
0.278,-0.216,-0.977,4.456,-3.845,-0.793
0.280,-0.212,-0.983,3.845,-3.418,-0.183
0.281,-0.206,-0.989,3.235,-3.418,-0.183
0.286,-0.205,-0.995,2.625,-3.601,-0.854
0.292,-0.208,-0.994,1.892,-4.150,-1.709
0.500,-0.507,1.523,149.963,67.017,5.859
0.471,-0.490,1.480,166.260,73.242,6.409
0.446,-0.481,1.418,181.519,77.942,7.202
0.415,-0.448,1.353,194.458,83.313,9.094
0.395,-0.418,1.277,205.505,89.722,11.597
0.377,-0.397,1.202,212.646,97.717,13.489
0.360,-0.399,1.135,215.820,106.567,14.343
0.341,-0.405,1.086,217.834,114.990,15.808
0.305,-0.387,1.046,219.543,121.826,18.433
0.266,-0.362,1.007,221.375,127.991,22.156
0.234,-0.329,0.970,224.426,136.658,27.100
0.222,-0.324,0.919,228.760,144.531,31.799
0.221,-0.303,0.868,231.934,152.161,35.034
0.204,-0.298,0.809,234.009,161.499,36.133
0.160,-0.270,0.743,237.427,173.035,37.598
0.124,-0.242,0.668,240.295,185.120,41.199
0.083,-0.219,0.591,242.859,196.777,46.021
0.034,-0.184,0.518,243.164,208.191,51.697
-0.020,-0.125,0.449,241.699,218.018,57.861
0.065,-0.237,0.337,243.164,226.685,65.552
0.068,-0.213,0.256,244.934,234.802,74.707
0.089,-0.192,0.184,240.906,241.943,78.796
0.105,-0.200,0.123,237.793,250.000,78.613
0.078,-0.155,0.086,232.178,258.118,74.951
0.063,-0.160,0.039,230.896,264.221,68.542
0.042,-0.174,0.017,234.253,268.677,61.401
0.007,-0.188,-0.005,242.920,268.066,56.274
-0.050,-0.196,-0.060,257.263,258.484,53.040
-0.099,-0.177,-0.160,277.588,249.023,54.565
-0.113,-0.131,-0.278,294.250,241.577,61.401
-0.164,-0.054,-0.377,299.805,236.145,67.505
-0.226,0.033,-0.468,296.204,235.840,71.106
-0.258,0.084,-0.580,287.170,239.685,75.623
-0.312,0.142,-0.677,273.010,243.774,81.970
-0.381,0.233,-0.765,257.874,246.338,89.539
-0.496,0.389,-0.855,247.375,248.169,96.863
-0.608,0.562,-0.995,243.652,248.718,101.624
-0.780,0.776,-1.213,245.117,247.681,105.408
-0.982,1.056,-1.513,247.620,245.728,109.192
-1.143,1.349,-1.926,247.620,238.831,111.389
-1.157,1.546,-2.416,239.441,223.206,105.957
-1.013,1.601,-2.850,212.585,195.557,88.074
-0.767,1.489,-3.068,162.659,150.024,60.425
